2011-10-15 14:49:07 Warning: Warning (2): include_once(/var/www/testes/cakephp-ajax/config/database.php) [http://php.net/function.include-once]: failed to open stream: No such file or directory in [/var/www/cakephp/1.3/cake/libs/model/connection_manager.php, line 23]
2011-10-15 14:49:07 Warning: Warning (2): include_once() [http://php.net/function.include]: Failed opening '/var/www/testes/cakephp-ajax/config/database.php' for inclusion (include_path='/var/www/cake/1.3:/var/www/testes/cakephp-ajax/:.:/usr/share/php:/usr/share/pear') in [/var/www/cakephp/1.3/cake/libs/model/connection_manager.php, line 23]
2011-10-15 14:54:22 Warning: Warning (2): include_once(/var/www/testes/cakephp-ajax/config/database.php) [http://php.net/function.include-once]: failed to open stream: No such file or directory in [/var/www/cakephp/1.3/cake/libs/model/connection_manager.php, line 23]
2011-10-15 14:54:22 Warning: Warning (2): include_once() [http://php.net/function.include]: Failed opening '/var/www/testes/cakephp-ajax/config/database.php' for inclusion (include_path='/var/www/cake/1.3:/var/www/testes/cakephp-ajax/:.:/usr/share/php:/usr/share/pear') in [/var/www/cakephp/1.3/cake/libs/model/connection_manager.php, line 23]
2011-10-15 15:02:15 Warning: Warning (2): include_once(/var/www/testes/cakephp-ajax/config/database.php) [http://php.net/function.include-once]: failed to open stream: No such file or directory in [/var/www/cakephp/1.3/cake/libs/model/connection_manager.php, line 23]
2011-10-15 15:02:15 Warning: Warning (2): include_once() [http://php.net/function.include]: Failed opening '/var/www/testes/cakephp-ajax/config/database.php' for inclusion (include_path='/var/www/cake/1.3:/var/www/testes/cakephp-ajax/:.:/usr/share/php:/usr/share/pear') in [/var/www/cakephp/1.3/cake/libs/model/connection_manager.php, line 23]
2011-10-15 15:05:33 Warning: Warning (2): include_once(/var/www/testes/cakephp-ajax/config/database.php) [http://php.net/function.include-once]: failed to open stream: No such file or directory in [/var/www/cakephp/1.3/cake/libs/model/connection_manager.php, line 23]
2011-10-15 15:05:33 Warning: Warning (2): include_once() [http://php.net/function.include]: Failed opening '/var/www/testes/cakephp-ajax/config/database.php' for inclusion (include_path='/var/www/cake/1.3:/var/www/testes/cakephp-ajax/:.:/usr/share/php:/usr/share/pear') in [/var/www/cakephp/1.3/cake/libs/model/connection_manager.php, line 23]
2011-10-15 15:11:47 Warning: Warning (2): include_once(/var/www/testes/cakephp-ajax/config/database.php) [http://php.net/function.include-once]: failed to open stream: No such file or directory in [/var/www/cakephp/1.3/cake/libs/model/connection_manager.php, line 23]
2011-10-15 15:11:47 Warning: Warning (2): include_once() [http://php.net/function.include]: Failed opening '/var/www/testes/cakephp-ajax/config/database.php' for inclusion (include_path='/var/www/cake/1.3:/var/www/testes/cakephp-ajax/:.:/usr/share/php:/usr/share/pear') in [/var/www/cakephp/1.3/cake/libs/model/connection_manager.php, line 23]
2011-10-15 15:12:13 Warning: Warning (2): include_once(/var/www/testes/cakephp-ajax/config/database.php) [http://php.net/function.include-once]: failed to open stream: No such file or directory in [/var/www/cakephp/1.3/cake/libs/model/connection_manager.php, line 23]
2011-10-15 15:12:13 Warning: Warning (2): include_once() [http://php.net/function.include]: Failed opening '/var/www/testes/cakephp-ajax/config/database.php' for inclusion (include_path='/var/www/cake/1.3:/var/www/testes/cakephp-ajax/:.:/usr/share/php:/usr/share/pear') in [/var/www/cakephp/1.3/cake/libs/model/connection_manager.php, line 23]
2011-10-15 15:13:57 Warning: Warning (2): include_once(/var/www/testes/cakephp-ajax/config/database.php) [http://php.net/function.include-once]: failed to open stream: No such file or directory in [/var/www/cakephp/1.3/cake/libs/model/connection_manager.php, line 23]
2011-10-15 15:13:57 Warning: Warning (2): include_once() [http://php.net/function.include]: Failed opening '/var/www/testes/cakephp-ajax/config/database.php' for inclusion (include_path='/var/www/cake/1.3:/var/www/testes/cakephp-ajax/:.:/usr/share/php:/usr/share/pear') in [/var/www/cakephp/1.3/cake/libs/model/connection_manager.php, line 23]
